Modern name,Designation,Address,Constellation,Right ascension,Declination,Apparent magnitude (V),Spectral type,Apparent magnitude (R),Apparent magnitude (J),Apparent magnitude (H),Apparent magnitude (K),Proper motion (μ),Parallax (π),Distance,Absolute magnitude (MV),Mass,Radius,Luminosity,Surface gravity (log g),Temperature,Metallicity [Fe/H],Age,SIMBAD,U−B color index,B−V color index,Variable type,Radial velocity (Rv),Rotational velocity (v sin i),Pronunciation,Period (P),Semi-major axis (a),Eccentricity (e),Inclination (i),Longitude of the node (Ω),Periastron epoch (T),Argument of periastron (ω)(secondary),Companion,Primary,Semi-amplitude (K1)(primary),R−I color index,Metallicity,Evolutionary stage,Luminosity (bolometric),Exoplanet Archive,V−R color index,Component,Epoch of observation,Angular distance,Position angle,Rotation,ARICNS,Extrasolar PlanetsEncyclopaedia,U−B colour index,B−V colour index,Argument of periastron (ω)(primary),Semi-amplitude (K2)(secondary),Absolute bolometricmagnitude (Mbol),Apparent magnitude (B),Note (category: variability):,Apparent magnitude (G),Apparent magnitude (U),Apparent magnitude (I),"Luminosity (visual, LV)",Discovered by,Discovery date,Detection method,Alternative names,Semi-major axis,Eccentricity,Orbital period (sidereal),Inclination,Star,Mean radius,Surface gravity,J−H color index,J−K color index,Discovery site,Mean density,Observed separation(projected),Equatorial [ g ]
Dofida,HD 117618,https://en.wikipedia.org/wiki/HD_117618,Centaurus,13h 32m 25.55543s,–47° 16′ 16.9091″,7.17,G0 V,,,,,RA: +24.87 mas/yr Dec.: −125.01 mas/yr,26.34 ± 0.60 mas,124 ± 3 ly (38.0 ± 0.9 pc),4.27,1.10±0.02 M☉,1.17±0.04 R☉,1.6±0.1 L☉,4.34±0.03 cgs,"6,019±50 K",+0.03±0.01 dex,4.0±1.3 Gyr,data,,0.603±0.010,,+1.60±0.76 km/s,3.67 km/s,,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dombay,HAT-P-3,https://en.wikipedia.org/wiki/HAT-P-3,Ursa Major,13h 44m 22.5937s,+48° 01′ 43.206″,11.577(67),K5,,9.936(22),9.542(28),9.448(25),RA: −19.619(12) mas/yr Dec.: −23.973(15) mas/yr,7.4159 ± 0.0143 mas,439.8 ± 0.8 ly (134.8 ± 0.3 pc),5.87(15),0.925+0.031−0.0134 M☉,0.850+0.021−0.010 R☉,0.435(53) L☉,4.58(10) cgs,"5,190(80) K",0.24(8) dex,2.9+1.7−3.7 Myr,data,,,planetary transit,−23.8±0.1 km/s,1.4(5) km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.53(20),,,,10.504(79),,,,,,,,,,,,,,,,,,
Dschubba,δ Scorpii A,https://en.wikipedia.org/wiki/Dschubba,Scorpius,16h 00m 20.00528s,−22° 37′ 18.1431″,1.59 - 2.32,B0.3 IV + B1-3V,,,,,RA: −10.21 mas/yr Dec.: −35.41 mas/yr,6.64 ± 0.89 mas,136.0 pc,−3.8,8.2 M☉,6.7 R☉,"38,000 L☉",3.92 cgs,"20-24,000 K",,9-10 Myr,data,−0.920,−0.124,γ Cas,−7 km/s,180 km/s,,10.8092±0.0005 yr,"0.09874±0.00007""(13.5±0.1 AU)",0.936±0.003,36±1°,174.0±2.5°,2011 July 3rd,−2.3±3.8°,,,23.9±0.8 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dubhe,α Ursae Majoris A,https://en.wikipedia.org/wiki/Dubhe,Ursa Major,11h 03m 43.67152s,+61° 45′ 03.7249″,1.79,K0III + F0V,,,,,RA: –134.11 mas/yr Dec.: –34.70 mas/yr,26.54 ± 0.48 mas,123 ± 2 ly (37.7 ± 0.7 pc),−1.10±0.04,~1.6 M☉,17.03±0.13 R☉,165.1±8.3 L☉,2.20 cgs,"5,012±65 K",−0.20±0.07 dex,280±30 Myr,data,+0.93,+1.07,Suspected,−9.4±0.3 km/s,2.6±1.0 km/s,,44.45±0.11 yr,0.590±0.026″,0.439±0.004,159.9±3.5°,9.3±8.2°,"2,002.17±0.09",232.8±7.9°,α UMa B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dziban,ψ1 Draconis A,https://en.wikipedia.org/wiki/Dziban,Draco,17h 41m 58.10460s,+72° 09′ 24.8581″,5.82,F8V,,,,,RA: 34.89 mas/yr Dec.: -275.94 mas/yr,43.36 ± 0.51 mas,75.2 ± 0.9 ly (23.1 ± 0.3 pc),,1.19 ± 0.07 M☉,1.5 R☉,,4.20 ± 0.12 cgs,6212 ± 75 K,−0.10 ± 0.05 dex,3.3 ± 1.0 years,ψ¹ Dra AB,+0.04,+0.525,,-11.20 ± 0.3 km/s,,,6774+271−167 d,9.1+0.4−0.3 AU,0.679+0.006−0.004,31 ± 1°,,2450388+169−273,32.6 ± 0.7°,ψ¹ Dra Ab,ψ¹ Dra Aa,5.18+0.04−0.03 km/s,,,,,,,,,,,,,,,,,11.1 ± 0.2 km/s,,,,,,,,,,,,,,,,,,,,,,,,
Ebla,HD 218566,https://en.wikipedia.org/wiki/HD_218566,Pisces,23h 09m 10.72701s,−02° 15′ 38.6854″,8.628,K3 V,,,,,RA: +631.520 mas/yr Dec.: −97.214 mas/yr,34.6603 ± 0.0511 mas,94.1 ± 0.1 ly (28.85 ± 0.04 pc),6.187,0.81±0.06 M☉,0.86±0.08 R☉,0.353±0.032 L☉,4.48±0.04 cgs,"4,849±42 K",0.38 dex,8.5 to 11.5 Gyr,data,,1.014,,−37.800±0.0029 km/s,0.0 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edasich,ι Draconis,https://en.wikipedia.org/wiki/Edasich,Draco,15h 24m 55.77463s,+58° 57′ 57.8344″,3.290,K2III,,,,,RA: −8.36 mas/yr Dec.: +17.08 mas/yr,32.23 ± 0.10 mas,101.2 ± 0.3 ly (31.03 ± 0.10 pc),0.99±0.007,1.56±0.08 M☉,11.99±0.06 R☉,52.8±2.1 L☉,2.52+0.007−0.07 cgs,"4,504±62 K",+0.03±0.08 dex,2.49+0.64−0.62 Gyr,data,+1.230,+1.160,Suspected,−10.71 km/s,1.5 km/s,,,,,,,,,,,,,,Red giant branch,,,,,,,,434 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electra,17 Tauri,https://en.wikipedia.org/wiki/Electra_(star),Taurus,03h 44m 52.53688s,+24° 06′ 48.0112″,3.70,B6 IIIe,,,,,RA: +20.84 mas/yr Dec.: −46.06 mas/yr,8.06 ± 0.25 mas,400 ± 10 ly (124 ± 4 pc),−1.77,4.6-4.7 M☉,6.06+0.14−0.15 R☉,940 L☉,3.412±0.047 cgs,"13,484±293 K",,115 Myr,data,-0.40,-0.12,,+10.9 km/s,181 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elgafar,φ Virginis A,https://en.wikipedia.org/wiki/Elgafar,Virgo,14h 28m 12.13894s,−02° 13′ 40.6579″,+4.81,G2 IV,,,,,RA: −139.53 mas/yr Dec.: −4.04 mas/yr,27.58 ± 1.01 mas,118 ± 4 ly (36 ± 1 pc),1.68,1.80 M☉,4 R☉,12.6 L☉,3.4 cgs,"5,534 K",−0.06 dex,1.5 Gyr,data,,+0.683,,−9.88±0.15 km/s,15.5 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elkurud,θ Columbae,https://en.wikipedia.org/wiki/Elkurud,Columba,06h 07m 31.63216s,−37° 15′ 10.5114″,5.02,B8 IV,,,,,RA: +0.12 mas/yr Dec.: +0.41 mas/yr,4.52 ± 0.16 mas,720 ± 30 ly (221 ± 8 pc),−1.72,4.13±0.09 M☉,,472 L☉,,"9,916 K",,237 Myr,data,,−0.11,,+45.3±1.8 km/s,249 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elnath,β Tauri Aa,https://en.wikipedia.org/wiki/Elnath,Taurus,05h 26m 17.51312s,+28° 36′ 26.8262″,1.65,B7III,,,,,RA: +22.76 mas/yr Dec.: −173.58 mas/yr,24.36 ± 0.34 mas,134 ± 2 ly (41.1 ± 0.6 pc),−1.42,5.0±0.1 M☉,4.2 R☉,700 L☉,3.65 cgs,"13,824±475 K",+0.08 dex,100±10 Myr,data,−0.49,−0.13,,9.2 km/s,59 km/s,/ɛlˈnæθ/ or /ˈɛlnæθ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eltanin,γ Draconis,https://en.wikipedia.org/wiki/Eltanin,Draco,17h 56m 36.36988s,+51° 29′ 20.0242″,2.23,K5 III,,,,,RA: –8.48 mas/yr Dec.: –22.79 mas/yr,21.14 ± 0.10 mas,154.3 ± 0.7 ly (47.3 ± 0.2 pc),−1.93 ± 0.07,1.72 M☉,48.15 ± 1.09 R☉,471 ± 30 L☉,1.55 cgs,"3,930 K",–0.14 dex,,data,+1.87,+1.53,,–28.19 ± 0.36 km/s,6.0 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emiw,HD 7199,https://en.wikipedia.org/wiki/HD_7199,Tucana,01h 10m 47.22139s,−66° 11′ 17.3901″,+8.06,K1IV,,,,,RA: +110.513 mas/yr Dec.: –123.283 mas/yr,27.6312 ± 0.0276 mas,118.0 ± 0.1 ly (36.19 ± 0.04 pc),5.32,0.93±0.02 M☉,0.98±0.02 R☉,0.70±0.01 L☉,4.42±0.03 cgs,"5,349±38 K",+0.39±0.106 dex,9.5±2.4 Gyr,data,,0.849±0.012,,+5.63±0.15 km/s,2.209±0.327 km/s,,,,,,,,,,,,,,,,data,,,,,,42.89±4.66 d,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enif,ε Pegasi,https://en.wikipedia.org/wiki/Enif,Pegasus,21h 44m 11.15614s,+09° 52′ 30.0311″,2.399 (0.7 - 3.5),K2 Ib-II,,,,,RA: +26.92 mas/yr Dec.: +0.4 mas/yr,4.73 ± 0.17 mas,690 ± 20 ly (211 ± 8 pc),–4.142,7.07 - 7.45 M☉,211 R☉,"3,895 L☉",1.01 cgs,"3,963 - 3,965 K",–0.04 dex,20.0 ± 4.5 Myr,data,+1.722,+1.527,LC,3.39 ± 0.06 km/s,8 km/s,,,,,,,,,,,,,,,"9,716 - 9,898 L☉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Errai,γ Cephei Aa,https://en.wikipedia.org/wiki/Errai_(star),Cepheus,23h 39m 20.852s,+77° 37′ 56.19″,3.21,M4V,,,,,RA: –47.96 ± 0.45 mas/yr Dec.: 126.59 ± 0.40 mas/yr,72.5167 ± 0.1470 mas,44.98 ± 0.09 ly (13.79 ± 0.03 pc),2.62,0.384±0.013 M☉,4.93±0.04 R☉,11.6±0.6 L☉,+3.18 cgs,"4,792±62 K",−0.05 dex,3.25±0.63 Gyr,data,+0.94,+1.03,Suspected,−42.82±0.30 km/s,1.63 km/s,,66.84 ± 1.32 yr,"1.419 ± 0.012""(19.56±0.18 AU)",0.4144 ± 0.0066,120.18 ± 0.27°,18.32 ± 0.78°,1991.581 ± 0.048,340.49 ± 0.50°,B,A,1.898 ± 0.014 km/s,,,,,data,,,,,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fafnir,42 Draconis A,https://en.wikipedia.org/wiki/Fafnir_(star),Draco,18h 25m 59.13734s,+65° 33′ 48.5288″,4.82,K1.5 III,,,,,RA: 105.83 ± 0.21 mas/yr Dec.: -27.24 ± 0.28 mas/yr,10.36 ± 0.20 mas,315 ± 6 ly (97 ± 2 pc),–0.108,0.879±0.050 M☉,21.76±0.43 R☉,142.55±5.77 L☉,2.1±0.54 cgs,"4,280±16 K",−0.5 dex,13.19±1.92 Gyr,data,,1.187,,32.17 ± 0.20 km/s,,,,,,,,,,,,,,,,,data,,,,,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fang,π Scorpii Aa,https://en.wikipedia.org/wiki/Fang_(star),Scorpius,15h 58m 51.11324s,−26° 06′ 50.7886″,2.890,B1 V + B2 V,,,,,RA: −11.42 mas/yr Dec.: −26.83 mas/yr,5.57 ± 0.64 mas,approx. 590 ly (approx. 180 pc),−3.35,12.5±0.6 M☉,4 R☉,"21,900 L☉",,"25,230 K",,15.4±0.612–14 Myr,data,−0.918,−0.187,Eclipsing binary,−3 km/s,87 km/s,,1.570103±0.000005 d,~0.07 AU,0.0,~42°,,,,,,124.1±1.5 km/s,,,,,,,,,,,100,,,,,,196.1±1.8 km/s,,,,,,,,,,,,,,,,,,,,,,,,
Fawaris,δ Cygni A,https://en.wikipedia.org/wiki/Fawaris,Cygnus,19h 44m 58.47854s,+45° 07′ 50.9161″,2.87,A0 IV (B9 III + F1 V),,,,,RA: +44.07 mas/yr Dec.: +48.66 mas/yr,19.77 ± 0.48 mas,165 ± 4 ly (51 ± 1 pc),−0.74,2.93 M☉,5.13 R☉,155 L☉,3.49 cgs,"10,150 K",,,data,–0.10,–0.02,Suspected,–20.1 km/s,135 km/s,,780.27 yr,3.0″,0.4670,,,,,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felis,HD 85951,https://en.wikipedia.org/wiki/Felis_(star),Hydra,09h 54m 52.2045s,−19° 00′ 33.620″,4.94,K5 III,,,,,RA: −45.386 mas/yr Dec.: −40.456 mas/yr,5.6789 ± 0.2214 mas,570 ± 20 ly (176 ± 7 pc),−1.43,6.40+1.2−0.4 M☉,56.7 R☉,721±32 L☉,1.3±0.04 cgs,"3,875±39 K",−0.18±0.07 dex,,data,+1.93,+1.57,,50±4.2 km/s,,,,,,,,,,,,,,,AGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felixvarela,BD−17 63,https://en.wikipedia.org/wiki/BD%E2%88%9217_63,Cetus,00h 28m 34.3061s,−16° 13′ 34.8414″,9.63,K4V(k),,7.574±0.019,7.027±0.033,6.914±0.024,RA: −354.939±0.022 mas/yr Dec.: −227.995±0.015 mas/yr,28.9723 ± 0.0212 mas,112.58 ± 0.08 ly (34.52 ± 0.03 pc),6.87,0.72±0.01 M☉,0.7±0.01 R☉,0.212±0.001 L☉,4.6±0.01 cgs,"4,692±9 K",−0.03±0.06 dex,10.5±2.6 Gyr,data,,,,2.93±0.15 km/s,,,,,,,,,,,,,,,,,data,,,,,,,,data,,,,,,~10.77,,,,,,,,,,,,,,,,,,,,,,
Flegetonte,HD 102195,https://en.wikipedia.org/wiki/HD_102195,Virgo,11h 45m 42.29278s,+02° 49′ 17.3262″,8.07,K0 V,,,,,RA: −188.735 mas/yr Dec.: −113.403 mas/yr,34.0560 ± 0.0555 mas,95.8 ± 0.2 ly (29.36 ± 0.05 pc),5.76,0.88±0.03 M☉,0.84±0.02 R☉,0.49±0.01 L☉,4.53±0.03 cgs,"5,283±29 K",+0.09 dex,5.9±3.5 Gyr,data,,0.835,,1.85±0.15 km/s,2.6 km/s,,,,,,,,,,,,,,,,,,,,,,12.3 d,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fomalhaut,α Piscis Austrini A,https://en.wikipedia.org/wiki/Fomalhaut,"Piscis Austrinus (Fomalhaut A+B), Aquarius (Fomalhaut C)",22h 48m 04.47s,−24° 22′ 07.5″,12.618,A3 V / K5Vp / M4V,,,,,RA: +330.203 mas/yr Dec.: −158.98 mas/yr,131.5525 ± 0.0275 mas,24.793 ± 0.005 ly (7.602 ± 0.002 pc),7.08,0.725 M☉,0.75 R☉,0.19 L☉,4.24 cgs,"4,575 K",−0.09 dex,4.4 × 108 years,AC,0.08 / 1.02 / ?,0.09 / 1.10 / 1.683,None / BY Draconis / ?,+6.79 km/s,2.71 km/s,"/ˈfoʊməl.hɔːt/, /foʊməlˈhɔːt/",,,,,,,,,,,,,,,data,,,,,,10.3 days,A (Fomalhaut),data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formosa,HD 100655,https://en.wikipedia.org/wiki/HD_100655,Leo,11h 35m 03.75298s,+20° 26′ 29.5637″,+6.45,G9 III,,,,,RA: –59.695 mas/yr Dec.: –1.047 mas/yr,7.2613 ± 0.0472 mas,449 ± 3 ly (137.7 ± 0.9 pc),1.02,2.2±0.1 M☉,8.8±0.1 R☉,40.8±0.3 L☉,2.89±0.02 cgs,"4,918±8 K",0.07±0.03 dex,900±200 Myr,data,,1.010±0.015,,−5.2±0.3 km/s,1.6±1.0 km/s,,,,,,,,,,,,,,giant star,,data,,,,,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franz,HAT-P-14,https://en.wikipedia.org/wiki/HAT-P-14,,,,,,,,,,,,,,2.444±0.060 MJ,,,,1566±21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HATNet Project,2010-03-10,Transit,"WASP-27b, Sissi",0.06062+0.00065−0.00067 AU,0.1074+0.0076−0.0079,4.627686±0.000077 d,84.1167+0.0026−0.0025,HAT-P-14,1.101±0.036 RJ,7.49±0.36 g,,,,,,
Fulu,ζ Cassiopeiae,https://en.wikipedia.org/wiki/Fulu_(star),Cassiopeia,00h 36m 58.28419s,+53° 53′ 48.8673″,3.66 (3.59 - 3.68),B2IV,,,,,RA: 17.38 mas/yr Dec.: –9.86 mas/yr,5.50 ± 0.16 mas,590 ± 20 ly (182 ± 5 pc),–2.8,8.3 M☉,5.9 R☉,"5,500 L☉",3.81 cgs,"20,426 K",–0.23 dex,,data,–0.89,–0.19,SPB,2.0 km/s,17 ± 3 km/s,,,,,,,,,,,,,,,,,,,,,,5.37045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fumalsamakah,β Piscium,https://en.wikipedia.org/wiki/Fumalsamakah,Pisces,23h 03m 52.61349s,+03° 49′ 12.1662″,+4.40,B6Ve,,,,,RA: 11.76 mas/yr Dec.: −9.85 mas/yr,7.99 ± 0.22 mas,410 ± 10 ly (125 ± 3 pc),−1.01,4.7 M☉,3.6 R☉,523.6 L☉,4.0 cgs,15500 K,,,data,−0.48,−0.12,Suspected,0.0 ± 0.6 km/s,90 ± 15 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furud,ζ Canis Majoris Aa,https://en.wikipedia.org/wiki/Furud,Canis Major,06h 20m 18.79204s,–30° 03′ 48.1202″,+3.025,B2.5 V,,,,,RA: +7.32 mas/yr Dec.: +4.03 mas/yr,9.00 ± 0.13 mas,362 ± 5 ly (111 ± 2 pc),−2.21,7.7±0.2 M☉,3.9 R☉,"3,603 L☉",4.0 cgs,"18,700 K",,32.0±0.4 Myr,data,–0.71,–0.195,Suspected β Cep,+32.2 km/s,25 km/s,,675 days,,0.57,,,"2,416,508 JD",207°,,,13.5 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuyue,G Scorpii,https://en.wikipedia.org/wiki/Fuyue_(star),Scorpius,17h 49m 51.48081s,−37° 02′ 35.8975″,3.21,K2 III,,,,,RA: 40.59 mas/yr Dec.: 27.24 mas/yr,25.92 ± 0.15 mas,125.8 ± 0.7 ly (38.6 ± 0.2 pc),+0.24,1.2±0.2 M☉,20±1 R☉,93±4 L☉,2.2 cgs,"4,535±125 K",−0.20 dex,,data,+1.19,+1.17,,+24.7 km/s,<1.0 km/s,,,,,,,,,,,,,,horizontal branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gacrux,γ Crucis,https://en.wikipedia.org/wiki/Gacrux,Crux,12h 31m 09.960s,−57° 06′ 47.568″,+1.64,M3.5 III,,−1.99,,,RA: +28.23 mas/yr Dec.: −265.08 mas/yr,36.83 ± 0.18 mas,88.6 ± 0.4 ly (27.2 ± 0.1 pc),−0.52,1.5±0.3 M☉,120 R☉,758 L☉,,"3,689 K",,,data,+1.78,+1.59,SRV,+20.6 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gakyid,HD 73534,https://en.wikipedia.org/wiki/HD_73534,Cancer,08h 39m 15.80305s,+12° 57′ 37.3485″,8.23,G5IV,,6.524±0.018,6.072±0.020,5.962±0.026,RA: −114.056±0.092 mas/yr Dec.: −93.903±0.059 mas/yr,11.9716 ± 0.0529 mas,272 ± 1 ly (83.5 ± 0.4 pc),,1.228±0.060 M☉,2.39±0.16 R☉,3.33±43 L☉,3.780±0.060 cgs,"5,041±44 K",0.232±0.030 dex,,data,,0.962±0.021,,+10.08±0.15 km/s,,,,,,,,,,,,,,,,,data,,,,,,~53 d,,data,,,,,3.42,9.192,,,,,,,,,,,,,,,,,,,,,,
"Gar
","GJ 486
",https://en.wikipedia.org/wiki/Gar_(star),Virgo,12h 47m 56.62457s,+09° 45′ 05.0357″,11.395,M3.5V,,,,,RA: −1008.267 mas/yr Dec.: −460.034 mas/yr,123.7756 ± 0.0329 mas,26.351 ± 0.007 ly (8.079 ± 0.002 pc),,0.323±0.015 M☉,0.328±0.011 R☉,0.01210±0.00023 L☉,,3340±54 K,−0.15±0.13 dex,1-8 Gyr,data,,,,19.20±0.17 km/s,<2 km/s,,,,,,,,,,,,,,main sequence,,,,,,,,49.9±5.5 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garnet Star†,μ Cephei,https://en.wikipedia.org/wiki/%CE%9C_Cephei,Cepheus,21h 43m 30.4609s,+58° 46′ 48.166″,+4.08 (3.43 - 5.1),M2-Ia (M2e Ia),,,,,RA: 2.740±0.884 mas/yr Dec.: −5.941±0.922 mas/yr,0.55 ± 0.20 mas,"3,060 ly (940+140−40 pc)",–7.63,19.2±0.1 M☉,"972±228 (1,259 – 1,420) R☉","269,000+111,000−40,000 (135,000 – 340,000) L☉",–0.36 – –0.5 cgs,"3,551±136 (3,750 – 3,700) K",,10.0±0.1 Myr,data,+2.42,+2.35,SRc,+20.63 km/s,,,,,,,,,,,,,,,Red supergiant or hypergiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geminga,PSR B0633+17,https://en.wikipedia.org/wiki/Geminga,Gemini,06h 33m 54.15s,+17° 46′ 12.9″,25.5,,,,,,,,815 ly (250 (+120 -62) pc),,,,,,,,"342,000 years",data,,,,,,,,,,,,,,,,,,,Pulsar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giausar,λ Draconis,https://en.wikipedia.org/wiki/Giausar,Draco,11h 31m 24.22075s,+69° 19′ 51.8696″,+3.85,M0III-IIIa Ca1,,,,,RA: −40.97 mas/yr Dec.: −19.19 mas/yr,9.79 ± 0.15 mas,333 ± 5 ly (102 ± 2 pc),−1.14±0.033,1.7 M☉,71 R☉,834 L☉,1.10±0.05 cgs,"3,958 K",,,data,+1.97,+1.62,slow irregular,+6.58±0.30 km/s,,,,,,,,,,,,,,,asymptotic giant branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gienah,γ Corvi A,https://en.wikipedia.org/wiki/Gienah_Corvi,Corvus,12h 15m 48.37081s,–17° 32′ 30.9496″,2.585,B8 III,,,,,RA: –158.61 mas/yr Dec.: +21.86 mas/yr,21.23 ± 0.20 mas,154 ± 1 ly (47.1 ± 0.4 pc),−0.79,0.8 M☉,,331 L☉,,"12,000 K",,160+40−30 Myr,data,–0.344,–0.111,,-4.2 km/s,30 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginan,ε Crucis,https://en.wikipedia.org/wiki/Ginan_(star),Crux,12h 21m 21.60936s,−60° 24′ 04.1291″,3.58,K3 III,,,,,RA: −170.93 mas/yr Dec.: 91.67 mas/yr,14.19 ± 0.17 mas,230 ± 3 ly (70.5 ± 0.8 pc),−0.63±0.09,1.52 M☉,28.41 R☉,302 L☉,1.91 cgs,"4,294 K",−0.21 dex,2.17 Gyr,data,+1.63,+1.42,suspected,−4.60 km/s,3.14 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloas,WASP-13,https://en.wikipedia.org/wiki/WASP-13,Lynx,09h 20m 24.7145s,+33° 52′ 56.696″,10.42,G1 V,,,,,RA: −2.275±0.018 mas/yr Dec.: −20.072±0.017 mas/yr,4.3310 ± 0.0195 mas,753 ± 3 ly (231 ± 1 pc),,1.2 M☉,1.5 R☉,2.895 L☉,4.04±0.2 cgs,"6,052 K",0.0±0.2 dex,5.1±2.0 Gyr,data,,,,10.00 km/s,< 4.9 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gnomon
","WASP-43
",https://en.wikipedia.org/wiki/Gnomon_(star),Sextans,10h 19m 38.00889s,−09° 48′ 22.6058″,12.4,K7V,,,,,RA: −41.992(18) mas/yr Dec.: −38.004(18) mas/yr,11.4740 ± 0.0163 mas,284.3 ± 0.4 ly (87.2 ± 0.1 pc),,0.723+0.028−0.031 M☉,0.6747+0.0086−0.0097 R☉,,4.639±0.01 cgs,4286+34−40 K,0.28+0.19−0.21 dex,? Gyr,data,,,,−3.42±0.55 km/s,15.6 (± 0.4) km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gomeisa,β Canis Minoris A,https://en.wikipedia.org/wiki/Gomeisa,Canis Minor,07h 27m 09.04174s,+08° 17′ 21.5368″,2.84–2.92,B8 Ve,,,,,RA: −59.375 ± 1.708 mas/yr Dec.: −35.010 ± 1.368 mas/yr,20.3535 ± 1.2220 mas,160 ± 10 ly (49 ± 3 pc),−0.59,3.5 M☉,3.5 R☉,195 L☉,3.51 cgs,"11,772 K",,160+20−60 Myr,data,−0.28,−0.09,γ Cas + SPBe,+22 km/s,210 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graffias†,ξ Scorpii,https://en.wikipedia.org/wiki/%CE%9E_Scorpii,Scorpius,16h 04m 26.7188s,−11° 26′ 59.553″,7.81,K1(V) + K1(V),,,,,RA: −56.334 mas/yr Dec.: −20.357 mas/yr,35.8718 ± 0.0237 mas,90.92 ± 0.06 ly (27.88 ± 0.02 pc),5.18,0.88 M☉,0.77 R☉,0.44 L☉,4.54 cgs,"5,217 K",,2.3 Gyr,ξ Sco ABC,+0.315,+0.75,,−32.28±0.12 km/s,,,1514.43 yr,7.755″,0.041,131.5°,47.4°,B 2226.10,59.3°,ξ Sco C,ξ Sco AB,,,,,,,,,,,,,ξ Sco A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guahayona
","HAT-P-26
",https://en.wikipedia.org/wiki/Guahayona,Virgo,14h 12m 37.53311s,+04° 03′ 36.1166″,11.76,K1V,,,,,RA: 37.735 mas/yr Dec.: -142.816 mas/yr,6.9985 ± 0.0204 mas,466 ± 1 ly (142.9 ± 0.4 pc),,0.81 M☉,0.78 R☉,,,5079±88 K,,,data,,,,14.10±0.39 km/s,1.8 km/s,,,,,,,,,,,,,-0.04±0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
